example,total_runs,problem_dimension,population_size,best_objective_max,best_objective_mean,best_objective_median,best_objective_min,best_objective_q25,best_objective_q50,best_objective_q75,best_objective_q95,best_objective_stdev,execution_time_max,execution_time_mean,execution_time_median,execution_time_min,execution_time_q25,execution_time_q50,execution_time_q75,execution_time_q95,execution_time_stdev,iterations_max,iterations_mean,iterations_median,iterations_min,iterations_q25,iterations_q50,iterations_q75,iterations_q95,iterations_stdev,evaluations_max,evaluations_mean,evaluations_median,evaluations_min,evaluations_q25,evaluations_q50,evaluations_q75,evaluations_q95,evaluations_stdev,success_rate,success_runs,success_tolerance,parameters_x6,parameters_x4,parameters_x3,parameters_x2,parameters_x1,parameters_x10,parameters,parameters_x7,parameters_x9,parameters_x5,parameters_x8
ackley,100,10,120,4.658085092231467,1.5957392516386557,1.6853791989678446,0.13445327932267803,1.0464519178835245,1.6853791989678448,2.1692074673223853,3.013876441299345,0.855184781954565,106.59528680000221,89.84629085600041,89.94579394999164,70.00688359999913,85.95122167499358,89.94579394999164,94.1983693000002,101.19698846999236,6.717342547495342,200,200,200.0,200,200.0,200.0,200.0,200.0,0.0,23602,23602,23602.0,23602,23602.0,23602.0,23602.0,23602.0,0.0,0.0,0,1e-06,,,,,,,not_available,,,,
beale,100,2,60,0.0328771282221888,0.0023524261655945384,6.0178391958716174e-05,2.123566176873925e-17,1.7646693567680306e-06,6.017839195871618e-05,0.0015490550825056999,0.016905965388227306,0.005732381233780587,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,120,120,120.0,120,120.0,120.0,120.0,120.0,0.0,7200,7200,7200.0,7200,7200.0,7200.0,7200.0,7200.0,0.0,0.22,22,1e-06,,,,"{'min': 0.38398428837827314, 'max': 0.5273910475639996, 'mean': 0.48458132112378943, 'median': 0.4969167441007656, 'stdev': 0.026422775452770768, 'q25': 0.4766214190474847, 'q50': 0.4969167441007656, 'q75': 0.5000048285480918, 'q95': 0.5033548459042678}","{'min': 2.6608687654483774, 'max': 3.1103257245617693, 'mean': 2.947571664788478, 'median': 2.9877824460100277, 'stdev': 0.08725635016883886, 'q25': 2.914849575393761, 'q50': 2.9877824460100277, 'q75': 3.000021859145507, 'q95': 3.0128363669090947}",,,,,,
booth,100,2,50,0.09163885933707794,0.004957727951060434,6.478269384842211e-05,1.8427790745962836e-27,1.8700832661803473e-07,6.478269384842211e-05,0.0027529553213906316,0.02752927209142967,0.01380218016478598,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,100,100,100.0,100,100.0,100.0,100.0,100.0,0.0,5000,5000,5000.0,5000,5000.0,5000.0,5000.0,5000.0,0.0,0.31,31,1e-06,,,,"{'min': 2.8692658357358063, 'max': 3.2202533502763337, 'mean': 3.00267987080545, 'median': 3.0000000017398154, 'stdev': 0.046403801918099175, 'q25': 2.996974338105507, 'q50': 3.0000000017398154, 'q75': 3.0083609751209623, 'q95': 3.080746636310627}","{'min': 0.8120753888375845, 'max': 1.181533545599212, 'mean': 0.999075562024681, 'median': 0.9999999986081471, 'stdev': 0.04808832597232292, 'q25': 0.9917702381263375, 'q50': 0.9999999986081471, 'q75': 1.0024221280674799, 'q95': 1.1001884054922733}",,,,,,
bukin6,100,2,70,0.04552403479711197,0.014200153841731913,0.011043670581875002,7.460797271651388e-05,0.005312446801963073,0.011043670581875,0.02063517882566245,0.04151281349535699,0.01167097719809401,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,180,180,180.0,180,180.0,180.0,180.0,180.0,0.0,12600,12600,12600.0,12600,12600.0,12600.0,12600.0,12600.0,0.0,0.0,0,1e-06,,,,"{'min': 0.3166477762616804, 'max': 2.1177244703631057, 'mean': 0.9682576112239056, 'median': 0.9338174793961025, 'stdev': 0.3586572240733738, 'q25': 0.7177901441903154, 'q50': 0.9338174793961025, 'q75': 1.1616518579605652, 'q95': 1.5699932036109467}","{'min': -14.552403479711197, 'max': -5.62714649055523, 'mean': -9.678355867341788, 'median': -9.663399689082468, 'stdev': 1.785233708433976, 'q25': -10.777995419068377, 'q50': -9.66339968908247, 'q75': -8.472178952734769, 'q95': -6.878032637514678}",,,,,,
cross_in_tray,100,2,70,-2.062611870818193,-2.0626118708225407,-2.062611870822739,-2.0626118708227397,-2.0626118708227397,-2.062611870822739,-2.0626118708227055,-2.0626118708213603,6.676270366294203e-13,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,250,250,250.0,250,250.0,250.0,250.0,250.0,0.0,17500,17500,17500.0,17500,17500.0,17500.0,17500.0,17500.0,0.0,0.0,0,1e-06,,,,"{'min': -1.3494078313916873, 'max': 1.3494071466245714, 'mean': -0.0269881502115752, 'median': -1.3494048542100723, 'stdev': 1.355933294685898, 'q25': -1.3494065899272933, 'q50': -1.3494048542100723, 'q75': 1.349406608008319, 'q95': 1.3494067299205466}","{'min': -1.3494100407002616, 'max': 1.3494087735178635, 'mean': -0.02698810351047042, 'median': -1.3494013943515082, 'stdev': 1.3559332455130122, 'q25': -1.3494066184200082, 'q50': -1.3494013943515082, 'q75': 1.3494066170438908, 'q95': 1.3494067535552028}",,,,,,
easom,100,2,60,-0.9999994542980757,-0.9999999936438593,-0.9999999999966802,-1.0,-0.9999999999999609,-0.9999999999966802,-0.9999999998820218,-0.9999999913020713,5.460680698955298e-08,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,160,160,160.0,160,160.0,160.0,160.0,160.0,0.0,9600,9600,9600.0,9600,9600.0,9600.0,9600.0,9600.0,0.0,0.0,0,1e-06,,,,"{'min': 3.1414846493879978, 'max': 3.141672373543331, 'mean': 3.1415902707098673, 'median': 3.141592645298818, 'stdev': 1.8599582649869418e-05, 'q25': 3.141591503834329, 'q50': 3.1415926452988185, 'q75': 3.1415927689458876, 'q95': 3.141602780506615}","{'min': 3.1409894941071865, 'max': 3.141623332133145, 'mean': 3.141584420400592, 'median': 3.1415926418803997, 'stdev': 6.212954471612453e-05, 'q25': 3.141591476863833, 'q50': 3.1415926418803997, 'q75': 3.1415926757004295, 'q95': 3.1416001886850076}",,,,,,
eggholder,100,2,50,-781.2304740032018,-898.0542149925517,-894.5676499349503,-955.077747590774,-931.1670032826238,-894.5676499349502,-885.9780066086216,-810.6514066261796,36.90763018384532,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,50,50,50.0,50,50.0,50.0,50.0,50.0,0.0,2500,2500,2500.0,2500,2500.0,2500.0,2500.0,2500.0,0.0,0.0,0,1e-06,,,,"{'min': -387.4244982852931, 'max': 508.7539665722318, 'mean': 425.3466687124407, 'median': 440.7139745768963, 'stdev': 92.0341551476009, 'q25': 385.780099688661, 'q50': 440.7139745768963, 'q75': 456.0179570157091, 'q95': 499.460733634198}","{'min': -473.6638383591685, 'max': 509.67415430428287, 'mean': 130.08662684472452, 'median': 347.47561508627615, 'stdev': 419.2849689125929, 'q25': -462.5933889043023, 'q50': 347.47561508627615, 'q75': 439.48218693225107, 'q95': 505.37444352922785}",,,,,,
goldstein_price,100,2,60,3.1012124835891597,3.004109700021903,3.0000381773943854,2.999999999999922,3.000000000016747,3.0000381773943854,3.001547277838686,3.035218022749659,0.01308148727245628,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,150,150,150.0,150,150.0,150.0,150.0,150.0,0.0,9000,9000,9000.0,9000,9000.0,9000.0,9000.0,9000.0,0.0,0.0,0,1e-06,,,,"{'min': -1.0095948310312162, 'max': -0.9837689485072929, 'mean': -0.9991295431133238, 'median': -0.9999997706522643, 'stdev': 0.002539002714706321, 'q25': -1.0000000111670915, 'q50': -0.9999997706522643, 'q75': -0.9988462164844211, 'q95': -0.9944058540721261}","{'min': -0.004237272431391936, 'max': 0.014123104158935806, 'mean': 0.001243024019732266, 'median': 9.946022452300696e-07, 'stdev': 0.002769953842366565, 'q25': -5.1228741804187905e-09, 'q50': 9.946022452300696e-07, 'q75': 0.0013722844373339482, 'q95': 0.007150294592530249}",,,,,,
griewank,100,10,90,0.22231947022734144,0.02650170931909145,0.014225176613979373,0.0003296558877056155,0.004807512792751045,0.014225176613979373,0.03249411565595092,0.09220911365538438,0.03688828919776626,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,220,220,220.0,220,220.0,220.0,220.0,220.0,0.0,19800,19800,19800.0,19800,19800.0,19800.0,19800.0,19800.0,0.0,0.0,0,1e-06,"{'min': -7.695689278270857, 'max': 7.675964536916563, 'mean': 0.1271274055207956, 'median': 2.1122716039378986e-05, 'stdev': 1.8012825644196162, 'q25': -0.027455524128516817, 'q50': 2.1122716039378986e-05, 'q75': 0.012652647424224561, 'q95': 0.4322130790748811}","{'min': -6.337029863698774, 'max': 6.333451347438988, 'mean': 0.25599244101564045, 'median': -5.99903883014008e-07, 'stdev': 1.7706118235414074, 'q25': -0.018205960437173374, 'q50': -5.99903883014008e-07, 'q75': 0.03831036810901356, 'q95': 6.23916333438332}","{'min': -5.43635159365747, 'max': 5.446435234768469, 'mean': -0.006686550788675119, 'median': -8.43926032345621e-05, 'stdev': 2.0212671103759785, 'q25': -0.03316522487877771, 'q50': -8.43926032345621e-05, 'q75': 0.027049140514720627, 'q95': 5.3724916985540245}","{'min': -4.569649196491406, 'max': 8.697015263795084, 'mean': 0.21455976416372607, 'median': 6.949553954527232e-06, 'stdev': 2.288042066441872, 'q25': -0.01879496350776222, 'q50': 6.949553954527232e-06, 'q75': 0.03289465940350711, 'q95': 4.438365121694734}","{'min': -6.268503538516686, 'max': 9.149522951980082, 'mean': 0.1869609674687679, 'median': 8.062167198108483e-05, 'stdev': 2.240389672715877, 'q25': -0.01967880846307235, 'q50': 8.062167198108483e-05, 'q75': 0.05867101023957133, 'q95': 3.1510422739068717}","{'min': -9.017869505550497, 'max': 0.5906784607106008, 'mean': -0.09862538308193533, 'median': 6.012252047327138e-07, 'stdev': 0.9152071468866975, 'q25': -0.024458777021243883, 'q50': 6.012252047327138e-07, 'q75': 0.03173194152937153, 'q95': 0.190862340070192}",,"{'min': -8.283968137176995, 'max': 8.280961623411855, 'mean': -0.01023271155616273, 'median': -4.293285726930662e-09, 'stdev': 1.6554539259874654, 'q25': -0.04554985271660961, 'q50': -4.293285726930662e-09, 'q75': 0.03783350367647342, 'q95': 0.27710615395956906}","{'min': -7.672682356937516, 'max': 0.6105957293866595, 'mean': -0.04873305036876962, 'median': 0.0011894609027196523, 'stdev': 0.7798863239224042, 'q25': -0.004133415608766899, 'q50': 0.0011894609027196523, 'q75': 0.05342754353033863, 'q95': 0.2602375762450807}","{'min': -7.007036225002242, 'max': 7.020495578770678, 'mean': 0.0013624183152730397, 'median': -2.111643518798445e-05, 'stdev': 2.1959687521787674, 'q25': -0.04689564447256167, 'q50': -2.111643518798445e-05, 'q75': 0.020826437096659767, 'q95': 6.550815603464511}","{'min': -8.902841302262955, 'max': 8.691983738545325, 'mean': 0.08129966893030094, 'median': 0.0004217348959469902, 'stdev': 1.8614523537345717, 'q25': -0.02512115302364215, 'q50': 0.0004217348959469902, 'q75': 0.03617899064883723, 'q95': 0.3819158640507508}"
himmelblau,100,2,70,0.00010426649840996722,2.32511584639787e-06,2.8714758197376076e-09,1.806491472956117e-26,2.5186839584236477e-13,2.8714758197376076e-09,2.742501188634683e-07,1.0598005491518973e-05,1.0992135535855258e-05,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,220,220,220.0,220,220.0,220.0,220.0,220.0,0.0,15400,15400,15400.0,15400,15400.0,15400.0,15400.0,15400.0,0.0,0.82,82,1e-06,,,,"{'min': -1.848128199081294, 'max': 3.131312518132443, 'mean': 1.1216261819798456, 'median': 1.9999853545402422, 'stdev': 1.69177764919707, 'q25': 1.9976818138202999, 'q50': 1.9999853545402422, 'q75': 2.0000002791758424, 'q95': 2.0005137287528303}","{'min': -2.805118086944179, 'max': 3.5844316645169894, 'mean': 2.908080155209725, 'median': 3.000010449634103, 'stdev': 1.1982706622856454, 'q25': 2.9999999294321844, 'q50': 3.0000104496341033, 'q75': 3.0006900513464756, 'q95': 3.5844283403335866}",,,,,,
holder_table,100,2,80,-19.206234210764336,-19.208428180959825,-19.208499975228797,-19.208502567879165,-19.208502418901272,-19.208499975228797,-19.20847545269485,-19.208159919742375,0.0002673135812908497,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,260,260,260.0,260,260.0,260.0,260.0,260.0,0.0,20800,20800,20800.0,20800,20800.0,20800.0,20800.0,20800.0,0.0,0.0,0,1e-06,,,,"{'min': -9.665116296697063, 'max': 9.664898765138908, 'mean': 0.9665870269473277, 'median': 9.662159214057757, 'stdev': 9.663538202198136, 'q25': -9.664308253375491, 'q50': 9.662159214057757, 'q75': 9.664438025486591, 'q95': 9.664632474586185}","{'min': -8.059513112291278, 'max': 8.055996143691281, 'mean': 0.4832307940586979, 'median': 8.0533633753893, 'stdev': 8.080712681115095, 'q25': -8.054947775262994, 'q50': 8.0533633753893, 'q75': 8.055019504274805, 'q95': 8.05540307874761}",,,,,,
levi13,100,2,60,0.002477407878795889,9.144806677279321e-05,6.475403594002961e-08,1.3497838043956716e-31,2.8870257803816355e-10,6.475403594002961e-08,2.3122605415515493e-05,0.0004896181482111954,0.00031512832973858883,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,120,120,120.0,120,120.0,120.0,120.0,120.0,0.0,7200,7200,7200.0,7200,7200.0,7200.0,7200.0,7200.0,0.0,0.6,60,1e-06,,,,"{'min': 0.9807601632378571, 'max': 1.017419621841844, 'mean': 1.0000704937550542, 'median': 1.0000000000063416, 'stdev': 0.0042590684816555275, 'q25': 0.9999993474530742, 'q50': 1.0000000000063416, 'q75': 1.0000431169396666, 'q95': 1.0075158898543364}","{'min': 0.9947462165295065, 'max': 1.0023353762360152, 'mean': 0.9998093801382092, 'median': 0.9999999999997051, 'stdev': 0.0008876280376194301, 'q25': 0.9999870602684365, 'q50': 0.9999999999997051, 'q75': 1.0000004866100016, 'q95': 1.000487388028583}",,,,,,
matyas,100,2,50,0.0045130135619348005,0.00033992436034732925,1.1567593237701469e-05,2.2284863863953473e-16,1.6264491311099566e-07,1.1567593237701469e-05,0.0002235548923890371,0.0022461948402180913,0.0008056895043176945,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,80,80,80.0,80,80.0,80.0,80.0,80.0,0.0,4000,4000,4000.0,4000,4000.0,4000.0,4000.0,4000.0,0.0,0.34,34,1e-06,,,,"{'min': -0.339040222501799, 'max': 0.3208841507248863, 'mean': -0.008116833131002057, 'median': -1.7053564027591506e-06, 'stdev': 0.09208898255765027, 'q25': -0.0291527135847498, 'q50': -1.7053564027591506e-06, 'q75': 0.011229750072949685, 'q95': 0.15162481874195805}","{'min': -0.33176345378464234, 'max': 0.2959271683171778, 'mean': -0.008159045792296754, 'median': -1.6079447986427908e-06, 'stdev': 0.0896012845075913, 'q25': -0.030146463897807507, 'q50': -1.6079447986427908e-06, 'q75': 0.010932106922161289, 'q95': 0.14040095247211015}",,,,,,
mccormick,100,2,65,-1.9130905297771679,-1.913220602361891,-1.9132229509286989,-1.9132229549810367,-1.9132229549807938,-1.9132229509286989,-1.9132227459103155,-1.9132093156975178,1.3750280190438302e-05,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,180,180,180.0,180,180.0,180.0,180.0,180.0,0.0,11700,11700,11700.0,11700,11700.0,11700.0,11700.0,11700.0,0.0,0.0,0,1e-06,,,,"{'min': -1.5484747067650986, 'max': -1.5367405219299135, 'mean': -1.5469519085472043, 'median': -1.547197545226747, 'stdev': 0.001215386270241578, 'q25': -1.5472167917679087, 'q50': -1.547197545226747, 'q75': -1.5471108965558726, 'q95': -1.5453394867881176}","{'min': -0.5487905408992011, 'max': -0.5423754484128294, 'mean': -0.5469813979171264, 'median': -0.5471975439182, 'stdev': 0.0008735717581500582, 'q25': -0.5472120400173203, 'q50': -0.5471975439182001, 'q75': -0.547142306801335, 'q95': -0.5457185736371288}",,,,,,
